action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,noir,history,horror,musical,mystery,romance,sci fi,short Film,sport,superhero,thriller,war,western,wikipedia_movie_id,mean_male_actor_age,mean_female_actor_age,average_number_of_films_actors_played_in,percent_female_cast,compound,experiment_scientist_power_creature,body_vampire_child_night,money_steal_prisoner_bank_drug,team_game_coach_player,ship_alien_earth_attack,murder_police_gang_fight_crime,agent_shoot_military_bomb,band_family_show_music_dream,family_father_mother_daughter_wedding,home_school_night_parent_party_decide,escape_camp_attack_truck,movie_woman_play_character_role,averageRating,movie_release_date
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12091274,37.0,34.0,11.2,0.8,0.9904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499600201845169,0.0,0.9086610078811646,0.0,0.0,6.0,2007.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17024723,37.333333333333336,24.0,21.0,0.4,-0.9477,0.20212599635124207,0.13816100358963013,0.02563999965786934,0.0,0.0,0.0,0.0,0.0,0.0424950011074543,0.3803980052471161,0.0,0.20432400703430176,6.8,2000.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7014201,26.666666666666668,21.5,11.0,0.4,0.9903,0.0934389978647232,0.0,0.0,0.431549996137619,0.0,0.0,0.07823699712753296,0.08352000266313553,0.0,0.3114340007305145,0.0,0.0,4.6,1994.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7752732,35.38461538461539,28.166666666666668,11.5,0.3,0.9784,0.0,0.0,0.04932999983429909,0.5867900252342224,0.0,0.0,0.0376570001244545,0.1644439995288849,0.0,0.0,0.12034299969673157,0.03657099977135658,4.3,2007.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16791637,36.0,38.8,11.4,0.5,0.9468,0.0,0.0,0.03987700119614601,0.0,0.0,0.4844149947166443,0.0,0.0,0.189628005027771,0.0,0.19575999677181244,0.0764169991016388,5.0,1988.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5933936,15.0,28.0,15.333333333333334,0.6666666666666666,-0.9308,0.07508300244808197,0.0,0.019454000517725945,0.036653999239206314,0.0,0.14878299832344055,0.0,0.0,0.0,0.7152780294418335,0.0,0.0,6.0,2006.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1851703,45.0,30.0,16.705882352941178,0.23529411764705882,-0.9978,0.05882199853658676,0.0,0.0,0.23424099385738373,0.0,0.2796429991722107,0.16353200376033783,0.0,0.0,0.25697800517082214,0.0,0.0,6.8,1999.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7266768,49.0,40.5,21.363636363636363,0.18181818181818182,0.6096,0.21948400139808655,0.0,0.0,0.04207000136375427,0.0,0.14493800699710846,0.0,0.3458369970321655,0.0,0.23854699730873108,0.0,0.0,5.2,1997.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6613755,33.0,34.75740314880939,5.0,0.0,0.9022,0.0,0.0,0.11529599875211716,0.0,0.2267799973487854,0.2879590094089508,0.0,0.04261799901723862,0.0,0.0,0.3169820010662079,0.0,4.8,1990.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8763366,48.0,25.0,11.5,0.5,-0.2648,0.4737040102481842,0.0,0.0,0.21858200430870056,0.0,0.0,0.0,0.0,0.0,0.0,0.2842170000076294,0.0,6.0,1982.0
