action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,noir,history,horror,musical,mystery,romance,sci fi,short Film,sport,superhero,thriller,war,western,wikipedia_movie_id,mean_male_actor_age,mean_female_actor_age,average_number_of_films_actors_played_in,percent_female_cast,compound,experiment_scientist_power_creature,body_vampire_child_night,money_steal_prisoner_bank_drug,team_game_coach_player,ship_alien_earth_attack,murder_police_gang_fight_crime,agent_shoot_military_bomb,band_family_show_music_dream,family_father_mother_daughter_wedding,home_school_night_parent_party_decide,escape_camp_attack_truck,movie_woman_play_character_role,averageRating,movie_release_date
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20604092,44.0,28.245886708320914,1.0,0.0,0.9849,0.0,0.0,0.0,0.0,0.4207780063152313,0.0,0.0,0.5679429769515991,0.0,0.0,0.0,0.0,,2007.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11448183,44.142857142857146,34.6,28.5,0.4166666666666667,0.7684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9844539761543274,0.0,0.0,0.0,,1984.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9633533,34.857142857142854,33.5,64.66666666666667,0.2222222222222222,-0.9772,0.17733600735664368,0.0,0.0,0.1597220003604889,0.0,0.2217099964618683,0.24969400465488434,0.0,0.0,0.11300099641084671,0.07597900182008743,0.0,7.9,1989.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29528534,37.666666666666664,34.0,36.166666666666664,0.5,0.9988,0.0,0.0,0.0,0.17673200368881226,0.0,0.024795999750494957,0.0,0.011876000091433525,0.3988119959831238,0.29485899209976196,0.0,0.09021800011396408,7.3,1986.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29772142,30.0,25.0,14.666666666666666,0.6666666666666666,0.8689,0.0,0.18543599545955658,0.0,0.0,0.0,0.03484899923205376,0.0,0.34254398941993713,0.0,0.18718700110912323,0.0,0.2413949966430664,6.6,2010.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26623942,46.0,28.245886708320914,52.0,0.0,-0.8591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587037980556488,0.0,0.0,0.3732289969921112,,2010.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4300418,51.25,25.333333333333332,57.714285714285715,0.42857142857142855,-0.8226,0.040029000490903854,0.0,0.0,0.0,0.09415099769830704,0.0,0.6384819746017456,0.0,0.10803800076246262,0.0,0.0,0.11404299736022949,,2003.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072373,42.42857142857143,22.0,55.5,0.125,0.9913,0.030426999554038048,0.03570900112390518,0.0,0.17631100118160248,0.0,0.0,0.0,0.39633500576019287,0.2998589873313904,0.05737899988889694,0.0,0.0,6.7,1997.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26600932,34.0,20.0,35.333333333333336,0.3333333333333333,0.8779,0.0,0.0,0.0,0.0,0.0,0.5956559777259827,0.0,0.3755919933319092,0.0,0.0,0.0,0.0,,2009.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36151270,43.0,27.0,49.0,0.5,-0.992,0.0,0.0,0.0,0.0,0.0,0.7785030007362366,0.0,0.0,0.0,0.20575499534606934,0.0,0.0,5.4,1990.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14543900,40.0,26.0,68.25,0.25,0.7123,0.0,0.0,0.04537300020456314,0.0,0.0,0.0,0.0,0.0,0.8604270219802856,0.0,0.0,0.0895640030503273,5.1,2000.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21618909,49.333333333333336,32.0,22.75,0.25,0.9636,0.21256299316883087,0.0,0.0,0.0,0.0,0.051701001822948456,0.0,0.1923220008611679,0.0,0.5320850014686584,0.0,0.0,6.7,2009.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20553214,25.0,26.0,10.0,0.5,0.2714,0.0,0.28014200925827026,0.1946610063314438,0.0,0.01980699971318245,0.0,0.0,0.0,0.3561210036277771,0.0,0.0,0.1395380049943924,,2008.0
